policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct,scenario,effective_path_m,clear_sky_snr_db,outage_penalty
PatchTST Policy,forecast,3225,3.6160218699112203,3.765465599314703,3.8141395348837217,0.01245364411695692,0.9875463558830431,1.3994967097660391,0.2533091015171124,133,0.04124031007751938,0.0,0.9987596899224805,22.46226912029516,0.6912664518886288,L300_SNR22_A12,300.0,22.0,12.0
Persistence Policy,forecast,3225,3.61243701869432,3.763149221005649,3.8122790697674427,0.012559350192610792,0.9874406498073892,1.4046129888358065,0.26171742652469954,57,0.017674418604651163,0.0,0.9990697674418605,22.34086249437478,0.7897191291998688,L300_SNR22_A12,300.0,22.0,12.0
LSTM-raw Policy,forecast,3225,3.6011348946027555,3.8086764894977025,3.8777674418604655,0.017295132907912236,0.9827048670920877,1.2126750043396826,-0.08438869863923051,103,0.03193798449612403,0.0,1.0,21.958098282230743,1.1001153796419183,L300_SNR22_A12,300.0,22.0,12.0
Fixed Peak-Rate,fixed,3225,3.271569678371843,3.9592958425408487,4.200000000000001,0.05731051368075046,0.9426894863192495,0.27283004309937237,-1.7357619744275827,0,0.0,0.0,1.0,10.796853783521682,10.151140352066914,L300_SNR22_A12,300.0,22.0,12.0
Fixed High-Rate,fixed,3225,2.952764060217754,2.990552812043551,3.0,0.003149062652149726,0.9968509373478502,3.772830043099373,1.7642380255724173,0,0.0,0.0,1.0,0.0,18.90666875479825,L300_SNR22_A12,300.0,22.0,12.0
Fixed Balanced,fixed,3225,1.799415375917503,1.7999237446848921,1.8000000000000005,4.23640639490747e-05,0.9999576359360509,8.272830043099372,6.264238025572418,0,0.0,0.0,0.0,-39.059967568665016,50.58169763952415,L300_SNR22_A12,300.0,22.0,12.0
Fixed Conservative,fixed,3225,0.9999931437229395,0.9999994725940723,1.0,5.274059277531964e-07,0.9999994725940723,12.272830043099374,10.264238025572418,0,0.0,1.0,0.0,-66.13365906217396,72.53665596265935,L300_SNR22_A12,300.0,22.0,12.0
Fixed Survival,fixed,3225,0.34999995312308396,0.3499999986715044,0.35,3.795701708850788e-09,0.9999999962042982,16.272830043099376,14.264238025572418,0,0.0,1.0,0.0,-88.14670098980842,90.38776497018111,L300_SNR22_A12,300.0,22.0,12.0
Oracle Policy,oracle,3225,2.018800959297844,2.255467157726133,2.4045271317829457,0.05916654960707224,0.9408334503929278,0.1123029786976991,-1.3098939099572646,105,0.03255813953488372,0.024806201550387597,0.5203100775193799,26.856454894226108,0.0,L500_SNR18_A4,500.0,18.0,4.0
TCN Policy,forecast,3225,1.994525745536778,2.2471684367963056,2.4075038759689926,0.06316067281488177,0.9368393271851182,0.09555879265118747,-1.5213823897732588,151,0.04682170542635659,0.019224806201550388,0.5190697674418605,25.331060552923915,1.2024570153517824,L500_SNR18_A4,500.0,18.0,4.0
TFT Policy,forecast,3225,1.992805235478661,2.2443597276356133,2.404527131782946,0.06288862303923809,0.937111376960762,0.11230297869769913,-1.5021627169925462,187,0.05798449612403101,0.024806201550387597,0.5203100775193799,25.22294795986348,1.287681368460641,L500_SNR18_A4,500.0,18.0,4.0
Improved LSTM Policy,forecast,3225,1.9920934322333366,2.2549228600760527,2.422883720930233,0.06570735696067914,0.9342926430393208,0.03726421900777663,-1.5965646556441888,105,0.03255813953488372,0.018604651162790697,0.5314728682170543,25.17822000594203,1.322940081908645,L500_SNR18_A4,500.0,18.0,4.0
PatchTST Policy,forecast,3225,1.98851657111671,2.2359545194844674,2.3931162790697673,0.06185948709193935,0.9381405129080607,0.15633398644963709,-1.5160170278419316,199,0.06170542635658915,0.026046511627906978,0.5116279069767442,24.953458907620554,1.500117584235102,L500_SNR18_A4,500.0,18.0,4.0
LSTM-raw Policy,forecast,3225,1.986903590334733,2.2739020239836556,2.4599689922480623,0.07174960841223049,0.9282503915877696,-0.10397609106974275,-1.7449063730182743,173,0.05364341085271318,0.016434108527131782,0.5609302325581396,24.85210318809221,1.5800155441874364,L500_SNR18_A4,500.0,18.0,4.0
Persistence Policy,forecast,3225,1.981820684313198,2.2383567804724667,2.402294573643411,0.06413402403981724,0.9358659759601827,0.12067507172095493,-1.5815469838727274,105,0.03255813953488372,0.024806201550387597,0.5184496124031007,24.532705956045767,1.8317940069489569,L500_SNR18_A4,500.0,18.0,4.0
Fixed Balanced,fixed,3225,1.6455425861720046,1.7520649405361395,1.8000000000000005,0.026630588591033743,0.9733694114089663,2.354473521333358,-1.2267865266136952,0,0.0,0.0,0.0,3.401822699678767,18.489112133950137,L500_SNR18_A4,500.0,18.0,4.0
Fixed High-Rate,fixed,3225,1.591405783001847,2.396316764143649,3.0,0.20122774528545043,0.7987722547145496,-2.145526478666642,-5.7267865266136955,0,0.0,0.0,1.0,0.0,21.170743669779537,L500_SNR18_A4,500.0,18.0,4.0
Fixed Conservative,fixed,3225,0.9824021650464634,0.9964804330092928,1.0,0.003519566990707325,0.9964804330092927,6.354473521333357,2.7732134733863045,0,0.0,1.0,0.0,-38.26827981023347,51.337344054554485,L500_SNR18_A4,500.0,18.0,4.0
Fixed Survival,fixed,3225,0.3483250928286184,0.3498652373540267,0.35,0.00038503613135209837,0.9996149638686479,10.354473521333357,6.7732134733863045,0,0.0,1.0,0.0,-78.11211341889323,82.74594178171141,L500_SNR18_A4,500.0,18.0,4.0
Fixed Peak-Rate,fixed,3225,-2.238579032957374,0.9021912270218331,4.200000000000001,0.7851925649948017,0.21480743500519828,-5.645526478666643,-9.226786526613695,0,0.0,0.0,1.0,-240.66676499910488,210.88656475257326,L500_SNR18_A4,500.0,18.0,4.0
Oracle Policy,oracle,3225,1.8447366337221474,2.1046933828300256,2.182434108527132,0.03249459363848475,0.9675054063615153,1.0267215833488619,-0.5395745399876372,155,0.04806201550387597,0.10201550387596899,0.3882170542635659,134.5516625614537,0.0,L500_SNR18_A8,500.0,18.0,8.0
Improved LSTM Policy,forecast,3225,1.7997145370130676,2.1119431375419278,2.2074883720930236,0.03902857506610756,0.9609714249338924,0.9214502655194046,-0.8178621241058855,173,0.05364341085271318,0.09457364341085271,0.4027906976744186,128.8272640527028,2.440570425396612,L500_SNR18_A8,500.0,18.0,8.0
PatchTST Policy,forecast,3225,1.797998317960943,2.077766083690113,2.1612558139534888,0.03497097071614627,0.9650290292838537,1.0995898004031255,-0.7037454937605921,279,0.08651162790697674,0.09643410852713177,0.3665116279069767,128.6090529408091,2.533603708346161,L500_SNR18_A8,500.0,18.0,8.0
TCN Policy,forecast,3225,1.7961723164495988,2.095337011502856,2.187147286821706,0.0373955868816571,0.9626044131183429,1.0147835988527378,-0.7754677010027002,225,0.06976744186046512,0.1116279069767442,0.3972093023255814,128.37688338202432,2.63258810958612,L500_SNR18_A8,500.0,18.0,8.0
TFT Policy,forecast,3225,1.7922110990093225,2.084138991149417,2.174682170542636,0.03649098651751176,0.9635090134824882,1.0812952267597147,-0.707194116190034,299,0.09271317829457364,0.1255813953488372,0.39813953488372095,127.87322875761889,2.8473188938002187,L500_SNR18_A8,500.0,18.0,8.0
LSTM-raw Policy,forecast,3225,1.7890096854599766,2.1302099278136355,2.2350232558139536,0.04265003029420731,0.9573499697057927,0.8005200329612651,-1.001124683339269,185,0.05736434108527132,0.07689922480620155,0.413953488372093,127.46618047938809,3.0208620159361064,L500_SNR18_A8,500.0,18.0,8.0
Persistence Policy,forecast,3225,1.7848280865136814,2.087585301254383,2.180201550387597,0.03784465184258772,0.9621553481574123,1.0350936763721177,-0.8007373558946055,155,0.04806201550387597,0.10201550387596899,0.3863565891472868,126.93450513501128,3.247539302539233,L500_SNR18_A8,500.0,18.0,8.0
Fixed Balanced,fixed,3225,1.5390202318078692,1.7520649405361395,1.8000000000000005,0.026630588591033743,0.9733694114089663,2.354473521333358,-1.2267865266136952,0,0.0,0.0,0.0,95.680915902828,16.572360321019403,L500_SNR18_A8,500.0,18.0,8.0
Fixed Conservative,fixed,3225,0.9683238970836341,0.9964804330092928,1.0,0.003519566990707325,0.9964804330092927,6.354473521333357,2.7732134733863045,0,0.0,1.0,0.0,23.118918878238777,47.50882703891258,L500_SNR18_A8,500.0,18.0,8.0
Fixed High-Rate,fixed,3225,0.7864948018600454,2.396316764143649,3.0,0.20122774528545043,0.7987722547145496,-2.145526478666642,-5.7267865266136955,0,0.0,0.0,1.0,0.0,57.36546954818557,L500_SNR18_A8,500.0,18.0,8.0
Fixed Survival,fixed,3225,0.34678494830320994,0.3498652373540267,0.35,0.00038503613135209837,0.9996149638686479,10.354473521333357,6.7732134733863045,0,0.0,1.0,0.0,-55.907534610137276,81.20138441640323,L500_SNR18_A8,500.0,18.0,8.0
Fixed Peak-Rate,fixed,3225,-5.379349292936581,0.9021912270218331,4.200000000000001,0.7851925649948017,0.21480743500519828,-5.645526478666643,-9.226786526613695,0,0.0,0.0,1.0,-783.9650154348791,391.60527278534084,L500_SNR18_A8,500.0,18.0,8.0
Oracle Policy,oracle,3225,1.7428970933631074,1.9844036799809108,2.0314263565891473,0.020125548884816952,0.979874451115183,1.676644063969017,-0.07543809022491672,163,0.05054263565891473,0.17209302325581394,0.3137984496124031,9563.945081647238,0.0,L500_SNR18_A12,500.0,18.0,12.0
Improved LSTM Policy,forecast,3225,1.685140260087882,1.9968893787561146,2.0593488372093023,0.025979093222352742,0.9740209067776473,1.5591246841240558,-0.32579257829325664,207,0.0641860465116279,0.1655813953488372,0.33054263565891473,9250.32501750917,3.313840702079397,L500_SNR18_A12,500.0,18.0,12.0
TCN Policy,forecast,3225,1.684864205474643,1.9758796896136352,2.034248062015504,0.024251290344915993,0.975748709655084,1.6741634438139783,-0.27570820505984944,269,0.08341085271317829,0.1869767441860465,0.32372093023255816,9248.826038763278,3.3296795381351916,L500_SNR18_A12,500.0,18.0,12.0
TFT Policy,forecast,3225,1.6836191572931805,1.9715989823646434,2.030139534883721,0.023998318755955265,0.9760016812440447,1.7051711957519626,-0.22749087712456548,315,0.09767441860465116,0.19627906976744186,0.32868217054263565,9242.065417233622,3.4011150913989865,L500_SNR18_A12,500.0,18.0,12.0
PatchTST Policy,forecast,3225,1.6760338574075675,1.9509930681661285,2.003705426356589,0.022913267563213418,0.9770867324367866,1.766876622108552,-0.2417458390664425,261,0.08093023255813954,0.16031007751937984,0.28217054263565894,9200.877178513947,3.8363272398670474,L500_SNR18_A12,500.0,18.0,12.0
LSTM-raw Policy,forecast,3225,1.666754052428643,2.032612899153117,2.105658914728682,0.030488237227039527,0.9695117627729605,1.346411505829482,-0.5542577661411093,243,0.07534883720930233,0.12992248062015505,0.34418604651162793,9150.487763657862,4.368762861812923,L500_SNR18_A12,500.0,18.0,12.0
Persistence Policy,forecast,3225,1.664213522860339,1.9686532680401643,2.0291937984496125,0.02536997876498541,0.9746300212350146,1.6850161569922728,-0.36956760429179664,163,0.05054263565891473,0.17209302325581394,0.31193798449612403,9136.692667892148,4.51452761051658,L500_SNR18_A12,500.0,18.0,12.0
Fixed Balanced,fixed,3225,1.4324978774437345,1.7520649405361395,1.8000000000000005,0.026630588591033743,0.9733694114089663,2.354473521333358,-1.2267865266136952,0,0.0,0.0,0.0,7878.474869990111,17.809382843161686,L500_SNR18_A12,500.0,18.0,12.0
Fixed Conservative,fixed,3225,0.954245629120805,0.9964804330092928,1.0,0.003519566990707325,0.9964804330092927,6.354473521333357,2.7732134733863045,0,0.0,1.0,0.0,5281.561357116655,45.24945662285285,L500_SNR18_A12,500.0,18.0,12.0
Fixed Survival,fixed,3225,0.3452448037778016,0.3498652373540267,0.35,0.00038503613135209837,0.9996149638686479,10.354473521333357,6.7732134733863045,0,0.0,1.0,0.0,1974.6820309238308,80.19132597716286,L500_SNR18_A12,500.0,18.0,12.0
Fixed High-Rate,fixed,3225,-0.01841617928175624,2.396316764143649,3.0,0.20122774528545043,0.7987722547145496,-2.145526478666642,-5.7267865266136955,0,0.0,0.0,1.0,0.0,101.05664180357432,L500_SNR18_A12,500.0,18.0,12.0
Fixed Peak-Rate,fixed,3225,-8.520119552915787,0.9021912270218331,4.200000000000001,0.7851925649948017,0.21480743500519828,-5.645526478666643,-9.226786526613695,0,0.0,0.0,1.0,-46164.316949586486,588.8481130274478,L500_SNR18_A12,500.0,18.0,12.0
Oracle Policy,oracle,3225,2.4929690043280077,2.652693135205213,2.7626046511627913,0.03993103271930141,0.9600689672806986,0.75059755234111,-1.615255801522534,80,0.024806201550387597,0.0009302325581395349,0.7978294573643411,2.9044227650903647,0.0,L500_SNR20_A4,500.0,20.0,4.0
Improved LSTM Policy,forecast,3225,2.4801296975757428,2.650392049972473,2.7681860465116284,0.04256558809918259,0.9574344119008175,0.7240859244341332,-1.829670282544665,102,0.03162790697674418,0.0,0.8065116279069767,2.37444367279038,0.5150207134535099,L500_SNR20_A4,500.0,20.0,4.0
TCN Policy,forecast,3225,2.479467619943889,2.6360796073421926,2.743255813953488,0.03915299684957583,0.9608470031504242,0.8175742965271565,-1.5773597420327206,122,0.03782945736434108,0.0,0.7857364341085271,2.347114525731878,0.5415785098281992,L500_SNR20_A4,500.0,20.0,4.0
LSTM-raw Policy,forecast,3225,2.4777898030653023,2.672090482427983,2.808744186046512,0.04857516984067026,0.9514248301593298,0.5716828236589394,-2.1360998132228457,106,0.032868217054263564,0.0,0.8406201550387596,2.2778578373828573,0.6088804648735323,L500_SNR20_A4,500.0,20.0,4.0
PatchTST Policy,forecast,3225,2.4776755524807337,2.6497292239064145,2.769054263565892,0.043013417856420204,0.9569865821435798,0.7217603430387844,-1.873536595362028,152,0.04713178294573643,0.00124031007751938,0.8083720930232559,2.273141817875517,0.6134633772310566,L500_SNR20_A4,500.0,20.0,4.0
TFT Policy,forecast,3225,2.477656143211127,2.631269055904052,2.7374263565891477,0.038403228173231156,0.9615967718267688,0.8478068546666914,-1.4617407382593837,160,0.04961240310077519,0.00124031007751938,0.7745736434108528,2.272340644783635,0.6142419376372608,L500_SNR20_A4,500.0,20.0,4.0
Persistence Policy,forecast,3225,2.4725053662440897,2.643087566454909,2.762232558139535,0.04264555005270496,0.957354449947295,0.7519929011783193,-1.8472134408380048,81,0.025116279069767444,0.0009302325581395349,0.7975193798449612,2.0597275999906546,0.8208540919839523,L500_SNR20_A4,500.0,20.0,4.0
Fixed High-Rate,fixed,3225,2.4226062761354226,2.7525455469151816,3.0,0.08248481769493961,0.9175151823050604,-0.14552647866664203,-3.7267865266136955,0,0.0,0.0,1.0,0.0,2.8224469726831516,L500_SNR20_A4,500.0,20.0,4.0
Fixed Balanced,fixed,3225,1.7420186203927552,1.7820057787425791,1.8000000000000005,0.009996789587455996,0.990003210412544,4.354473521333357,0.7732134733863048,0,0.0,0.0,0.0,-28.093201212553236,30.12273247808289,L500_SNR20_A4,500.0,20.0,4.0
Fixed Conservative,fixed,3225,0.9940800431804877,0.9988160086360977,1.0,0.0011839913639024322,0.9988160086360975,8.354473521333357,4.7732134733863045,0,0.0,1.0,0.0,-58.96650425729686,60.12465291567286,L500_SNR20_A4,500.0,20.0,4.0
Fixed Peak-Rate,fixed,3225,0.8743895288651627,2.49663853917484,4.200000000000001,0.40556225257741924,0.5944377474225808,-3.645526478666642,-7.2267865266136955,0,0.0,0.0,1.0,-63.907072417066395,64.92577615898362,L500_SNR20_A4,500.0,20.0,4.0
Fixed Survival,fixed,3225,0.34947417251987856,0.3499576920418293,0.35,0.00012087988048768705,0.9998791201195123,12.354473521333357,8.773213473386305,0,0.0,1.0,0.0,-85.57445442280596,85.9816077972425,L500_SNR20_A4,500.0,20.0,4.0
Oracle Policy,oracle,3225,2.381127077693577,2.5489580308129636,2.601736434108527,0.020978869139923372,0.9790211308600766,1.3653262345116526,-0.26883948856940776,69,0.021395348837209303,0.017364341085271316,0.6796899224806201,13.78432744434114,0.0,L500_SNR20_A8,500.0,20.0,8.0
Improved LSTM Policy,forecast,3225,2.3627220409419896,2.5463871705232486,2.6048372093023255,0.02295814119765736,0.9770418588023426,1.3502874748217302,-0.331292468672159,71,0.02201550387596899,0.013953488372093023,0.68,12.904825989762632,0.7729548298369343,L500_SNR20_A8,500.0,20.0,8.0
TCN Policy,forecast,3225,2.3622430692448635,2.532458391483632,2.585736434108527,0.021276915279846036,0.978723084720154,1.4216053042790944,-0.22664012439725192,99,0.030697674418604652,0.013643410852713178,0.6638759689922481,12.881937890705291,0.7930701652011443,L500_SNR20_A8,500.0,20.0,8.0
TFT Policy,forecast,3225,2.35956260772684,2.5392306008335823,2.5964031007751944,0.022458499138342844,0.9775415008616571,1.3850161569922728,-0.3039865042749046,125,0.03875968992248062,0.017054263565891473,0.6750387596899224,12.753849594231767,0.9056412893185499,L500_SNR20_A8,500.0,20.0,8.0
PatchTST Policy,forecast,3225,2.3566081672851196,2.5428564992309455,2.602480620155039,0.023281041493228197,0.9767189585067718,1.3616053042790945,-0.3789071037440802,147,0.045581395348837206,0.016434108527131782,0.6796899224806201,12.612668965199095,1.0297186839858719,L500_SNR20_A8,500.0,20.0,8.0
Persistence Policy,forecast,3225,2.351324317673917,2.5392892350108855,2.5995038759689924,0.023495614667121058,0.976504385332879,1.3736983275349084,-0.3985441772794459,69,0.021395348837209303,0.017364341085271316,0.6778294573643411,12.360175396098997,1.2516240858731464,L500_SNR20_A8,500.0,20.0,8.0
LSTM-raw Policy,forecast,3225,2.3452543996053175,2.58826955111937,2.669333333333333,0.030376893939256546,0.9696231060607434,1.1050161569922727,-0.9324841856324468,117,0.03627906976744186,0.010542635658914728,0.7314728682170543,12.07011882937983,1.5065419407605452,L500_SNR20_A8,500.0,20.0,8.0
Fixed High-Rate,fixed,3225,2.0926670053556644,2.7525455469151816,3.0,0.08248481769493961,0.9175151823050604,-0.14552647866664203,-3.7267865266136955,0,0.0,0.0,1.0,0.0,12.11443417028052,L500_SNR20_A8,500.0,20.0,8.0
Fixed Balanced,fixed,3225,1.7020314620429313,1.7820057787425791,1.8000000000000005,0.009996789587455996,0.990003210412544,4.354473521333357,0.7732134733863048,0,0.0,0.0,0.0,-18.666875442342135,28.519923275511857,L500_SNR20_A8,500.0,20.0,8.0
Fixed Conservative,fixed,3225,0.989344077724878,0.9988160086360977,1.0,0.0011839913639024322,0.9988160086360975,8.354473521333357,4.7732134733863045,0,0.0,1.0,0.0,-52.72329160860776,58.45059732455846,L500_SNR20_A8,500.0,20.0,8.0
Fixed Survival,fixed,3225,0.3489906529979278,0.3499576920418293,0.35,0.00012087988048768705,0.9998791201195123,12.354473521333357,8.773213473386305,0,0.0,1.0,0.0,-83.32316359436201,85.3434679624084,L500_SNR20_A8,500.0,20.0,8.0
Fixed Peak-Rate,fixed,3225,-0.7478594814445143,2.49663853917484,4.200000000000001,0.40556225257741924,0.5944377474225808,-3.645526478666642,-7.2267865266136955,0,0.0,0.0,1.0,-135.7371468814939,131.4077937481989,L500_SNR20_A8,500.0,20.0,8.0
Oracle Policy,oracle,3225,2.308657639193539,2.4954899148007623,2.5333643410852713,0.015569356300601932,0.984430643699398,1.6416053042790946,0.20279582382823758,89,0.027596899224806203,0.03627906976744186,0.6356589147286822,30.97074459709332,0.0,L500_SNR20_A12,500.0,20.0,12.0
Improved LSTM Policy,forecast,3225,2.2826757266237423,2.5042145247494525,2.549891472868217,0.018461566510475848,0.9815384334895242,1.57059755234111,0.0025709900452051565,75,0.023255813953488372,0.028217054263565893,0.6437209302325582,29.496783981386102,1.1254121065292677,L500_SNR20_A12,500.0,20.0,12.0
TCN Policy,forecast,3225,2.2818409254477605,2.4912203575829697,2.533891472868217,0.017448286011267418,0.9825517139887325,1.6315277848992495,0.10128449651573813,107,0.03317829457364341,0.029147286821705427,0.6310077519379845,29.4494254948991,1.161571698224873,L500_SNR20_A12,500.0,20.0,12.0
PatchTST Policy,forecast,3225,2.2769687317863982,2.4925546677442783,2.5372868217054267,0.017965494663156622,0.9820345053368433,1.6273417383876216,0.04606556517346258,156,0.04837209302325581,0.037209302325581395,0.6393798449612403,29.173024689159554,1.3726118099611555,L500_SNR20_A12,500.0,20.0,12.0
TFT Policy,forecast,3225,2.276537825239229,2.4913216561649434,2.53584496124031,0.01789865257714286,0.9821013474228572,1.6319929011783192,0.0872641563856182,149,0.0462015503875969,0.035968992248062014,0.6375193798449612,29.14857924936095,1.3912766193228228,L500_SNR20_A12,500.0,20.0,12.0
Persistence Policy,forecast,3225,2.2635435182536474,2.4850331880010694,2.5311317829457365,0.01845747247895179,0.9815425275210482,1.6499773973023504,-0.0007599239056563095,89,0.027596899224806203,0.03627906976744186,0.6337984496124031,28.411408855391507,1.9541278089050498,L500_SNR20_A12,500.0,20.0,12.0
LSTM-raw Policy,forecast,3225,2.2568031591412625,2.535091321141416,2.595286821705426,0.02319068016667949,0.9768093198333205,1.3994347616434355,-0.3057298880359688,125,0.03875968992248062,0.027286821705426356,0.6809302325581396,28.029026540745136,2.2460879071870736,L500_SNR20_A12,500.0,20.0,12.0
Fixed High-Rate,fixed,3225,1.7627277345759063,2.7525455469151816,3.0,0.08248481769493961,0.9175151823050604,-0.14552647866664203,-3.7267865266136955,0,0.0,0.0,1.0,0.0,23.647070719777112,L500_SNR20_A12,500.0,20.0,12.0
Fixed Balanced,fixed,3225,1.6620443036931074,1.7820057787425791,1.8000000000000005,0.009996789587455996,0.990003210412544,4.354473521333357,0.7732134733863048,0,0.0,0.0,0.0,-5.711797057928644,28.008195088047223,L500_SNR20_A12,500.0,20.0,12.0
Fixed Conservative,fixed,3225,0.9846081122692684,0.9988160086360977,1.0,0.0011839913639024322,0.9988160086360975,8.354473521333357,4.7732134733863045,0,0.0,1.0,0.0,-44.14292729636124,57.35148878058802,L500_SNR20_A12,500.0,20.0,12.0
Fixed Survival,fixed,3225,0.34850713347597706,0.3499576920418293,0.35,0.00012087988048768705,0.9998791201195123,12.354473521333357,8.773213473386305,0,0.0,1.0,0.0,-80.22910023822685,84.90433888682959,L500_SNR20_A12,500.0,20.0,12.0
Fixed Peak-Rate,fixed,3225,-2.3701084917541912,2.49663853917484,4.200000000000001,0.40556225257741924,0.5944377474225808,-3.645526478666642,-7.2267865266136955,0,0.0,0.0,1.0,-234.4568673462447,202.66175683728136,L500_SNR20_A12,500.0,20.0,12.0
Oracle Policy,oracle,3225,3.232129265962938,3.462841065438668,3.668279069767442,0.0576779498689325,0.9423220501310675,-0.07358849417051797,-1.4730441780958843,89,0.027596899224806203,0.0,0.9789147286821706,16.913652192738613,0.0,L500_SNR22_A4,500.0,22.0,4.0
Improved LSTM Policy,forecast,3225,3.2099906645538074,3.4590480366698397,3.6835348837209305,0.06226434302900803,0.9377356569709919,-0.12273578099222339,-1.8428525723399178,83,0.02573643410852713,0.0,0.9835658914728682,16.1128473572273,0.6849540840543952,L500_SNR22_A4,500.0,22.0,4.0
TFT Policy,forecast,3225,3.20921532740836,3.449433489986031,3.665302325581396,0.0600545406444177,0.9399454593555823,-0.06397609106974277,-1.7341812912098888,147,0.045581395348837206,0.0,0.9779844961240309,16.08480160475398,0.7089425164977534,L500_SNR22_A4,500.0,22.0,4.0
TCN Policy,forecast,3225,3.2089447127287842,3.450224898739875,3.666418604651163,0.06032004650277269,0.9396799534972273,-0.07281330037206835,-1.7969690522217994,135,0.04186046511627907,0.0,0.9835658914728682,16.075012840777447,0.7173151605756212,L500_SNR22_A4,500.0,22.0,4.0
PatchTST Policy,forecast,3225,3.2046709046696433,3.442871585915038,3.656372093023257,0.05955017031134864,0.9404498296886513,-0.03916988951935517,-1.7620745961734037,185,0.05736434108527132,0.0,0.9792248062015503,15.920419237660505,0.8495440322407407,L500_SNR22_A4,500.0,22.0,4.0
LSTM-raw Policy,forecast,3225,3.2037236337332113,3.47458813658227,3.7226046511627913,0.06771612571226457,0.9322838742877354,-0.2385497344805955,-1.9547023816496625,113,0.03503875968992248,0.0,0.9854263565891472,15.886154239053988,0.8788519855583123,L500_SNR22_A4,500.0,22.0,4.0
Persistence Policy,forecast,3225,3.1945272617849234,3.4421738441704384,3.666046511627907,0.06191164559637866,0.9380883544036214,-0.0670768662635412,-1.8909158500762715,89,0.027596899224806203,0.0,0.9789147286821704,15.553500021687203,1.1633818168721006,L500_SNR22_A4,500.0,22.0,4.0
Fixed Peak-Rate,fixed,3225,2.8866026708821186,3.5272842948420604,4.200000000000001,0.16017040598998558,0.8398295940100144,-1.645526478666642,-5.2267865266136955,0,0.0,0.0,1.0,4.415149553616952,10.690370546732378,L500_SNR22_A4,500.0,22.0,4.0
Fixed High-Rate,fixed,3225,2.7645439222398034,2.8990902523884876,3.0,0.03363658253717087,0.9663634174628292,1.854473521333358,-1.7267865266136952,0,0.0,0.0,1.0,0.0,14.466789699508764,L500_SNR22_A4,500.0,22.0,4.0
Fixed Balanced,fixed,3225,1.7795865114538976,1.793664779416727,1.8000000000000005,0.003519566990707325,0.9964804330092927,6.354473521333357,2.7732134733863045,0,0.0,0.0,0.0,-35.628206260796325,44.940738286848465,L500_SNR22_A4,500.0,22.0,4.0
Fixed Conservative,fixed,3225,0.9980748193432393,0.9996149638686479,1.0,0.00038503613135209837,0.9996149638686479,10.354473521333357,6.7732134733863045,0,0.0,1.0,0.0,-63.897306484658415,69.12020723138107,L500_SNR22_A4,500.0,22.0,4.0
Fixed Survival,fixed,3225,0.349842356616517,0.3499873160496048,0.35,3.623985827196016e-05,0.999963760141728,14.354473521333357,10.773213473386305,0,0.0,1.0,0.0,-87.34538620268769,89.17610256802988,L500_SNR22_A4,500.0,22.0,4.0
Oracle Policy,oracle,3225,3.047655271902329,3.3340485931914356,3.4574263565891474,0.03579916516113836,0.9642008348388617,0.6175742965271565,-0.743261009912949,161,0.04992248062015504,0.00124031007751938,0.9048062015503876,15.880534684411147,0.0,L500_SNR22_A8,500.0,22.0,8.0
Improved LSTM Policy,forecast,3225,3.0028187441982785,3.343658715441167,3.4937674418604656,0.042604996405361154,0.9573950035946388,0.4992797228837456,-1.1222000448825056,167,0.05178294573643411,0.0,0.9150387596899225,14.175722184244533,1.4711810786941015,L500_SNR22_A8,500.0,22.0,8.0
TCN Policy,forecast,3225,2.9970210217714643,3.315031890773908,3.4546976744186053,0.03975135862530543,0.9602486413746946,0.6299773973023503,-1.0383570382466487,217,0.06728682170542635,0.0,0.8982945736434109,13.955276262763505,1.6614165846670357,L500_SNR22_A8,500.0,22.0,8.0
PatchTST Policy,forecast,3225,2.9954373869300595,3.3162930243653026,3.4559379844961247,0.04010695467940544,0.9598930453205946,0.6135432887752185,-1.1042463809979004,265,0.08217054263565891,0.00124031007751938,0.9131782945736434,13.895061955109108,1.7133789852707102,L500_SNR22_A8,500.0,22.0,8.0
LSTM-raw Policy,forecast,3225,2.9929854688009514,3.36772412346818,3.534325581395349,0.0468423318334037,0.9531576681665963,0.36765181590700147,-1.3027491221969405,187,0.05798449612403101,0.0,0.9283720930232557,13.801833043551113,1.793831592614899,L500_SNR22_A8,500.0,22.0,8.0
TFT Policy,forecast,3225,2.9914953205285797,3.3047711051856283,3.4432868217054264,0.039159473082131115,0.9608405269178689,0.6774192577674666,-0.9659241444058706,281,0.08713178294573644,0.00124031007751938,0.8862015503875968,13.745173361547874,1.8427265016326622,L500_SNR22_A8,500.0,22.0,8.0
Persistence Policy,forecast,3225,2.9808985212162242,3.310024693924001,3.455193798449613,0.04114077158847219,0.9588592284115278,0.6240859244341332,-1.1484278142312516,161,0.04992248062015504,0.00124031007751938,0.9048062015503876,13.342252866707042,2.190429846235052,L500_SNR22_A8,500.0,22.0,8.0
Fixed High-Rate,fixed,3225,2.6299975920911205,2.8990902523884876,3.0,0.03363658253717087,0.9663634174628292,1.854473521333358,-1.7267865266136952,0,0.0,0.0,1.0,0.0,13.704229729056884,L500_SNR22_A8,500.0,22.0,8.0
